FID,MANZENT,TIMES_SELECTED,TOTAL_VIVIENDAS,REGION,PROVINCIA,COMUNA,NOMBRE_DISTRITO
32888,13130051004015,1,30,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SAN MIGUEL,SALESIANOS
117937,3201011002013,1,13,REGIÓN DE ATACAMA,CHAÑARAL,CHAÑARAL,CHAÑARAL
5427,13105051004039,1,20,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,EL BOSQUE,AVIADORES
3226,13103031001012,1,20,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRO NAVIA,JOSÉ JOAQUÍN PÉREZ
19055,13119141004012,1,32,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,LAS LOMAS
83078,5101211003030,1,31,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA
73218,10301041002020,1,101,REGIÓN DE LOS LAGOS,OSORNO,OSORNO,MUNICIPALIDAD
28281,13127121001002,2,34,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RECOLETA,ARCO IRIS
70804,10108071001034,1,14,REGIÓN DE LOS LAGOS,LLANQUIHUE,MAULLÍN,CARELMAPU
64886,7404011001500,1,46,REGIÓN DEL MAULE,LINARES,PARRAL,PLAZA
42197,13605021005042,1,77,REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,PEÑAFLOR,MALLOCO
69792,10101051001500,1,127,REGIÓN DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,INTENDENCIA
123239,1107041006020,1,16,REGIÓN DE TARAPACÁ,IQUIQUE,ALTO HOSPICIO,PAMPA DEL MOLLE
107977,4102181003016,1,18,REGIÓN DE COQUIMBO,ELQUI,COQUIMBO,LAS ROSAS
20907,13119031004014,1,15,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,RAMÓN FREIRE
16422,13117031003008,1,48,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LO PRADO,TERRITORIO ANTÁRTICO
91246,5109101003037,1,145,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,ÁLVAREZ
111344,4204011001038,1,52,REGIÓN DE COQUIMBO,CHOAPA,SALAMANCA,SALAMANCA
139479,8101051003015,1,32,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CONCEPCIÓN,ESTACIÓN CENTRAL
23109,13119231007015,1,142,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,CIUDAD SATÉLITE
7061,13109041001016,1,25,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA CISTERNA,EL PARRÓN
123184,15101171008020,1,21,REGIÓN DE ARICA Y PARINACOTA,ARICA,ARICA,PEDRO BLANQUIER
20293,13119171003044,1,18,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,SAN JOSÉ
147301,8112061001045,1,10,REGIÓN DEL BIOBÍO,CONCEPCIÓN,HUALPÉN,CERRO VERDE
107410,4101051009003,1,277,REGIÓN DE COQUIMBO,ELQUI,LA SERENA,LA PAMPA
87954,5107011004025,1,25,REGIÓN DE VALPARAÍSO,VALPARAÍSO,QUINTERO,QUINTERO
56095,6107011001500,3,113,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,LAS CABRAS,LAS CABRAS
60076,7105051007001,3,427,REGIÓN DEL MAULE,TALCA,MAULE,UNIHUE
125752,15101111002028,1,15,REGIÓN DE ARICA Y PARINACOTA,ARICA,ARICA,CONDELL
10673,13110151001024,2,62,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,SAN JOSÉ DE LA ESTRELLA
53038,6115041003504,1,17,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RENGO,CÉSARES
5149,13105071003010,1,41,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,EL BOSQUE,EL ALMENDRO
2353,13103051002024,1,36,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRO NAVIA,DALMACIA
16844,13118011002008,1,33,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MACUL,LO PLAZA
17645,13119201007028,1,98,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,LOS PAJARITOS
38138,13404061001013,1,46,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,PAINE,PAINE SUR
134891,16105011001067,1,74,REGIÓN DE ÑUBLE,DIGUILLÍN,PEMUCO,PEMUCO
23572,13122021003026,1,126,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEÑALOLÉN,PEÑALOLÉN
136905,16109011001502,1,124,REGIÓN DE ÑUBLE,DIGUILLÍN,YUNGAY,YUNGAY
15329,13114121002003,4,685,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,VATICANO
144926,8108041004503,2,320,REGIÓN DEL BIOBÍO,CONCEPCIÓN,SAN PEDRO DE LA PAZ,SAN PEDRO
127128,2101041005038,1,30,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ARTURO PRAT
137,13102011002013,1,44,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRILLOS,CERRILLOS
120416,3303021001127,1,22,REGIÓN DE ATACAMA,HUASCO,FREIRINA,FREIRINA
123220,1107041007013,1,47,REGIÓN DE TARAPACÁ,IQUIQUE,ALTO HOSPICIO,PAMPA DEL MOLLE
52540,6113011001507,2,29,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,PICHIDEGUA,PICHIDEGUA
15043,13114091001007,3,284,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,EL PILLÁN
38433,13402051001018,1,89,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,BUIN,VALDIDIA DE PAINE
29407,13125021019005,1,64,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUILICURA,LO ECHEVERS
17484,13118021006004,3,380,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MACUL,MACUL
29537,13125011002500,2,573,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUILICURA,QUILICURA
