FID,MANZENT,TIMES_SELECTED,TOTAL_VIVIENDAS,REGION,PROVINCIA,COMUNA,NOMBRE_DISTRITO
127039,2101171002008,1,33,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,OSCAR BONILLA
72253,10208011005003,2,162,REGIÓN DE LOS LAGOS,CHILOÉ,QUELLÓN,QUELLÓN
34819,13302011004055,1,24,REGIÓN METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,LAMPA
117141,3301031003024,1,24,REGIÓN DE ATACAMA,HUASCO,VALLENAR,LIBERTAD
116578,3101211004030,2,69,REGIÓN DE ATACAMA,COPIAPÓ,COPIAPÓ,PUNTA NEGRA
2098,13103061004036,1,39,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRO NAVIA,EL MONTIJO
113420,14101081010029,2,44,REGIÓN DE LOS RÍOS,VALDIVIA,VALDIVIA,LAS MULATAS
55732,6303011001001,4,227,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,CHIMBARONGO,CHIMBARONGO
146757,8111011001050,1,18,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TOMÉ,EL PUERTO
133279,16101141004017,2,225,REGIÓN DE ÑUBLE,DIGUILLÍN,CHILLÁN,PUENTE ÑUBLE
85493,5101051006034,1,26,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,CERRO CORDILLERA
141402,8103031001013,1,79,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CHIGUAYANTE,FÁBRICA
147851,8110121001002,1,39,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TALCAHUANO,SAN MIGUEL
90294,5109081001021,1,180,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,VERGARA
143505,8108021009012,1,97,REGIÓN DEL BIOBÍO,CONCEPCIÓN,SAN PEDRO DE LA PAZ,BOCA SUR
139985,8101161011003,1,47,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CONCEPCIÓN,LA TOMA
78917,9112041003004,1,16,REGIÓN DE LA ARAUCANÍA,CAUTÍN,PADRE LAS CASAS,PADRE LAS CASAS
40347,13501141001901,2,146,REGIÓN METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,CEMENTERIO
132549,16101151012012,3,60,REGIÓN DE ÑUBLE,DIGUILLÍN,CHILLÁN,SAN BERNARDO
82769,9211051003005,1,24,REGIÓN DE LA ARAUCANÍA,MALLECO,VICTORIA,VICTORIA SUR
3662,13103071002016,1,63,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRO NAVIA,VIOLETA PARRA
146151,8110101003003,1,57,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TALCAHUANO,HUACHIPATO
115403,3101061002020,1,34,REGIÓN DE ATACAMA,COPIAPÓ,COPIAPÓ,CERRO
9624,13110031007019,1,34,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,GERÓNIMO DE ALDERETE
73951,10401011001025,2,18,REGIÓN DE LOS LAGOS,PALENA,CHAITÉN,CHAITÉN
126216,15101071004008,1,31,REGIÓN DE ARICA Y PARINACOTA,ARICA,ARICA,JOSE MANUEL BALMACEDA
55564,7101141001045,1,32,REGIÓN DEL MAULE,TALCA,TALCA,LIRCAY
35255,13132041003500,1,344,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,VITACURA,CLUB DE GOLF
